EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
7854,41,1,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
7493,37,1,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,4,1,0,8,0,1,6,4,0,5,Referral,29
3347,41,1,Travel_Rarely,Sales,1,College,Life Sciences,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Company Website,20
9431,41,1,Travel_Rarely,Sales,1,College,Life Sciences,1,Female,3,5,Manager,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10,Indeed,8
9066,37,1,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,2,1,Human Resources,1,Married,2342,0,No,21,4,1,0,8,0,1,6,4,0,5,Referral,29
5315,49,0,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
9100,59,0,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
6835,59,0,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,4,4,1,16,3,2,14,8,6,9,Seek,43
8208,49,0,Travel_Frequently,Research & Development,8,Below college,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,Indeed,43
4127,49,0,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8,Referral,30
5537,54,0,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
3237,37,1,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
9912,37,1,Travel_Rarely,Research & Development,2,College,Other,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,Company Website,12
9128,37,1,Travel_Rarely,Research & Development,2,College,Other,4,Female,2,2,Healthcare Representative,4,Married,4523,0,No,11,4,4,3,7,4,4,6,5,0,4,Company Website,30
8271,33,0,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
7090,30,0,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
7636,33,0,Travel_Frequently,Research & Development,3,Master,Life Sciences,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,Company Website,28
1283,33,0,Travel_Frequently,Research & Development,3,Master,Life Sciences,1,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,4,2,0,6,4,3,5,3,1,4,Company Website,27
3069,27,0,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
9880,31,0,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
6877,27,0,Travel_Rarely,Research & Development,2,Below college,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Company Website,25
1434,58,0,Travel_Rarely,Sales,10,Master,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,0,No,13,3,3,0,38,1,2,37,10,1,8,Adzuna,20
9526,27,0,Travel_Rarely,Research & Development,2,Below college,Medical,4,Female,1,1,Sales Representative,3,Divorced,2351,0,No,16,4,4,1,3,3,2,2,2,1,0,Company Website,24
3481,25,0,Travel_Rarely,Sales,13,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,11,4,3,0,7,1,3,7,4,0,6,Company Website,18
6392,31,0,Travel_Rarely,Sales,8,College,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,4,No,12,4,2,2,8,2,4,3,2,1,2,GlassDoor,23
2421,32,0,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
1486,34,1,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
6501,32,0,Travel_Frequently,Research & Development,2,College,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,Company Website,12
4071,44,0,Non-Travel,Research & Development,23,Bachelor,Medical,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,12,4,3,1,17,3,4,3,2,1,2,Seek,27
1481,28,0,Travel_Rarely,Research & Development,8,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,21,3,4,0,5,3,3,5,3,0,2,Seek,23
5208,32,0,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,1,Yes,23,3,3,1,1,3,3,1,0,0,0,Adzuna,31
4034,24,1,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,Yes,16,4,4,1,6,4,3,6,3,1,2,Company Website,18
8338,36,0,Travel_Frequently,Research & Development,18,Master,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,1,2,10,3,3,10,8,0,6,Jora,26
2388,39,1,Non-Travel,Research & Development,2,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,19,3,3,1,10,2,3,6,1,0,5,Company Website,29
6035,59,0,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
6326,41,0,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
6309,59,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,3,Female,4,1,Manufacturing Director,3,Married,6132,1,No,17,3,3,0,10,3,3,0,0,0,0,Seek,49
