REVIEW_TITLE|SCORE|ROLE|PROS|CONS|DATE|STATUS|LOCATION|tiempoCategoria|categoriaStatus
Buena compañia|4|Gerente de proyecto|Mucha capacitacion opciones de crecimiento y proyectos|Largas jornadas de trabajo durante semana y fines de semana|2021-05-27|Current Employee, More Than 1 Year|Monterrey, Nuevo León|1|Empleado
Una empresa que podría ser mejor con sus empleados de Manufactura|3|Técnico de pruebas|Buenas prestaciones, oportunidad de crecimiento.|Los puestos son heredados a amigos o conocidos de los gerentes|2021-07-29|Current Employee|El Salto, Jalisco|Desconocida|Empleado
buena experiencia buen trabajoa con salario por debajo del promedio|3|Analista Contable|flexibilidad horaria y trabajo desde casa iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiiiiiiiiiiiiiiiiiiiii|salario bajo|2017-06-20|Current Employee|Martínez|Desconocida|Empleado
Buen lugar para trabajar|5|Gerente de ofertas|Buenas prestaciones, salario por encima del mercado, buen ambiente laboral, flexibilidad de horario, oportunidades, aprendizaje.|Distancia de las oficinas, burocracia.|2019-08-08|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Bien pero con incertidumbre|4|Programador Web|Muy buen ambiente de trabajo aprendí muchísimo|A cada rato hay recortes cada Q hay incertidumbre por cuantos van a despedir|2019-09-23|Former Employee, More Than 5 Years|Unknown|5|Empleado
IBM de México SA de CV|4|directora del programa|Buenas prestaciones laborales y manejo de tecnologías de punta|Falta de seguimiento a la carrera profesional de los empleados|2019-11-21|Former Employee, More Than 8 Years|Unknown|8|Empleado
Muy grande, organización chica|3|Control de calidad del probador|Perteneces a una gran empresa, pesos para el cv|Es tan grande que se escapa de las manos la organización|2019-12-05|Former Employee|Buenos Aires|Desconocida|Exempleado
IBM|4|Socio comercial de recursos humanos|Acceso a una gran cantidad de conocimiento, gente con mucha experiencia, herramientas tecnológicas actuales, innovación, movilidad y oportunidades laborales|Muchos procesos, complejidad, burocrática, top-down|2019-12-10|Current Employee, More Than 10 Years|Unknown|10|Empleado
Transformandose|3|Empleado anónimo|Solida, con gran historia de reinvencion|Lenta y Mexico poco conectado con el mundo|2019-12-12|Current Employee, More Than 8 Years|Ciudad De Mexico|8|Empleado
Consultoria|4|Empleado anónimo|Desarrollo profesional, activos de conocimiento, soporte y respaldo|Alta burocracia, poco balance entre vida y trabajo|2020-01-06|Former Employee, More Than 10 Years|Unknown|10|Empleado
crecimiento|3|Gestión de activos|Muy buena empresa, aprendes con facilidad buen ambiente laboral|Crecimiento favoritismos manager injustos desconfianza|2020-05-24|Former Employee, More Than 1 Year|El Salto, Jalisco|1|Empleado
Project Manager|5|Gerente de proyecto|Prestaciones, Entrenamientos, buena cultura, oficina corporativa|hay muchos empleados que los envian de outsourcing a otras compañias con proyectos poco interesantes .|2020-07-06|Former Employee, Less Than 1 Year|Ciudad De Mexico|0|Empleado
Positiva|4|Director de Servicios de Transformación de Talento|AI, Watson, Blockchain, Digital, Cognitive|Consultoría, Tamaño, Regulación, Globalidad, Sueldos|2020-08-12|Former Employee, More Than 3 Years|Ciudad De Mexico|3|Empleado
Sourcing Buyer|4|Empleado anónimo|Trabajo Flexible, Gente Copada, Educacion Disponible.|Sueldos, Relacion Exigencias Incentivos, Depende del area los comienzos son duros y no te acompañan como corresponde.|2020-08-24|Current Employee|Unknown|Desconocida|Empleado
Excelente pero hay que pelear los sueldos constantemente|4|Analista de control de calidad|Prestigiosa. Confiable. Cumplen lo prometido.|No pagan buenos sueldos. Hay que mantenerse insistente para no quedar atrasado.|2020-09-07|Current Employee, More Than 5 Years|Buenos Aires|5|Empleado
Burocracia Infinita.|2|Automatización de control de calidad|Sirve para dar los primeros pasos en IT|Excesiva burocracia. Para subir hay que tener amiguismos. Si servís, te vas al tener la experiencia suficiente.|2021-02-10|Former Employee, More Than 3 Years|Buenos Aires|3|Empleado
Great pleace to work|5|Administrador de base de datos|The best place to work, and agile methodologies|Ninguna desventaja para mi,solo muy lejos de la Ciudad pero hay transporte|2021-02-21|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
La mejor empresa en la que he trabajado|5|Desarrollador Junior Full Stack|Home office, horario flexible, crecimiento profesional, capacitación constante.|Demasiado que aprender y poco tiempo para hacerlo|2021-02-24|Current Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
En general bien, pero no|3|Desarrollador De Software|Salario competitivo, trabajar para IBM y ser parte de una histórica|Calvario burocrático, baja inversión en investigación, nula perspectiva de ascenso.|2021-03-11|Former Employee, More Than 1 Year|Reus|1|Empleado
Oportunidad de trabajar en áreas muy diversas|3|Ejecutivo de cuentas globales|Marca. Research. Presencia global. Oportunidad de trabajar en distintas áreas|Mucha presión. Muchas horas de trabajo sin contraprestación económica.|2021-03-29|Former Employee|Madrid|Desconocida|Exempleado
