Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,4,1,0,8,0,1,6,4,0,5,Referral,29
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Company Website,20
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,1,Female,3,5,Manager,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10,Indeed,8
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,2,1,Human Resources,1,Married,2342,0,No,21,4,1,0,8,0,1,6,4,0,5,Referral,29
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
59,Current employee,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,4,4,1,16,3,2,14,8,6,9,Seek,43
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,Indeed,43
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8,Referral,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,Company Website,12
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,4,Female,2,2,Healthcare Representative,4,Married,4523,0,No,11,4,4,3,7,4,4,6,5,0,4,Company Website,30
