,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
1915,3774,25,1,Travel_Rarely,Research & Development,4,Below college,Technical Degree,4,Male,3,1,Laboratory Technician,4,Married,3691,1,Yes,15,3,2,1,7,3,4,7,7,5,6,Recruit.net,18
1401,1196,47,1,Travel_Frequently,Sales,27,College,Life Sciences,2,Female,4,2,Sales Executive,3,Single,6397,4,Yes,12,3,4,0,8,2,3,5,4,1,3,Indeed,39
208,7738,38,0,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,3,Married,2093,1,No,17,3,4,1,8,4,3,2,2,2,0,Recruit.net,30
1493,5829,27,1,Travel_Rarely,Research & Development,5,Below college,Technical Degree,3,Male,2,3,Research Director,4,Divorced,12808,1,Yes,16,3,2,1,9,3,3,9,8,0,8,Adzuna,18
2175,8612,34,1,Travel_Rarely,Sales,2,Bachelor,Marketing,3,Female,3,2,Sales Executive,1,Single,4538,0,Yes,12,3,4,0,4,3,3,3,2,0,2,GlassDoor,30
809,4148,41,0,Travel_Rarely,Sales,2,Master,Life Sciences,4,Male,3,4,Manager,2,Single,16015,1,No,19,3,2,0,22,2,3,22,10,0,4,Jora,19
1992,5263,43,1,Travel_Frequently,Research & Development,28,Bachelor,Medical,3,Male,3,1,Laboratory Technician,3,Married,2610,1,No,12,3,3,1,2,5,2,2,2,2,2,LinkedIn,41
2538,8389,55,0,Non-Travel,Research & Development,8,Below college,Medical,4,Female,3,3,Manufacturing Director,1,Married,10008,1,Yes,14,3,4,0,31,3,3,2,0,2,2,Recruit.net,24
496,3169,22,1,Travel_Rarely,Research & Development,19,Below college,Medical,3,Male,3,1,Research Scientist,4,Married,2323,1,No,24,3,1,2,2,6,3,2,2,2,2,Indeed,20
2505,9940,28,1,Travel_Frequently,Research & Development,2,College,Medical,3,Male,2,1,Laboratory Technician,1,Single,2561,7,No,11,4,3,0,8,2,2,0,0,0,0,Indeed,20
2456,6408,26,1,Travel_Rarely,Research & Development,1,College,Life Sciences,4,Male,4,4,Research Director,2,Single,2011,1,No,13,3,4,1,10,5,3,10,5,7,7,Recruit.net,16
2682,4063,41,0,Travel_Rarely,Research & Development,10,Doctor,Medical,2,Male,3,2,Manufacturing Director,1,Married,5377,0,No,13,3,1,0,9,3,3,8,7,3,1,GlassDoor,32
88,2569,29,1,Travel_Rarely,Research & Development,15,College,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,4,0,10,3,3,9,5,0,8,Seek,19
2720,1873,45,1,Non-Travel,Research & Development,4,Bachelor,Life Sciences,1,Female,3,2,Manufacturing Director,3,Single,5042,1,Yes,11,3,3,0,6,4,3,6,4,0,2,LinkedIn,39
2205,8509,30,1,Non-Travel,Research & Development,9,College,Medical,3,Female,3,2,Manufacturing Director,3,Single,4695,7,Yes,18,3,3,0,10,3,3,8,4,1,7,Adzuna,20
1321,7650,53,0,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,3,Male,4,4,Research Director,3,Married,14814,1,Yes,14,3,1,0,10,3,3,10,7,1,4,Jora,43
1275,6280,38,0,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,2,Female,4,2,Sales Executive,4,Divorced,4647,1,Yes,20,3,2,2,6,3,3,6,5,0,4,Adzuna,32
812,8065,41,1,Travel_Rarely,Research & Development,2,Master,Life Sciences,2,Female,2,1,Sales Representative,3,Single,1200,1,No,12,3,1,0,0,2,3,0,0,0,0,LinkedIn,41
1994,6456,36,0,Travel_Rarely,Research & Development,6,College,Medical,3,Female,2,2,Healthcare Representative,4,Divorced,5731,7,No,13,3,3,2,9,2,3,6,2,1,3,Recruit.net,27
3239,9672,28,1,Non-Travel,Research & Development,24,College,Technical Degree,4,Male,3,4,Sales Executive,1,Single,13341,0,No,12,3,1,0,21,3,3,20,8,11,10,LinkedIn,7
2309,8541,29,1,Travel_Rarely,Research & Development,27,Bachelor,Medical,3,Female,2,1,Research Scientist,3,Divorced,2029,1,No,20,3,3,3,5,2,3,5,4,0,0,Company Website,24
1677,6021,27,1,Travel_Rarely,Sales,2,Below college,Marketing,3,Female,3,2,Healthcare Representative,4,Married,5855,0,Yes,11,3,3,2,10,2,1,9,7,8,5,Adzuna,17
3234,3220,27,1,Travel_Rarely,Research & Development,16,Master,Technical Degree,4,Male,3,1,Human Resources,2,Married,2991,0,Yes,11,4,2,1,7,2,3,6,2,1,2,Company Website,20
284,1690,31,0,Travel_Rarely,Research & Development,8,Master,Life Sciences,1,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,GlassDoor,14
3024,3509,30,1,Travel_Rarely,Research & Development,20,Bachelor,Other,4,Male,1,1,Laboratory Technician,3,Married,2705,0,No,16,3,2,1,6,2,4,5,4,0,3,Seek,24
1621,4911,22,1,Travel_Rarely,Research & Development,3,Below college,Life Sciences,2,Female,3,2,Manufacturing Director,3,Married,4171,0,Yes,19,3,1,1,4,3,4,3,2,0,2,Company Website,18
2869,3471,28,1,Non-Travel,Research & Development,16,Bachelor,Medical,4,Male,1,2,Human Resources,2,Married,6430,6,No,19,3,2,1,10,4,3,3,2,1,2,Seek,18
2897,1379,33,0,Travel_Rarely,Research & Development,15,College,Medical,4,Male,3,5,Manager,2,Single,19833,1,No,14,4,2,0,21,3,2,21,8,12,8,Referral,12
1714,7796,36,0,Non-Travel,Sales,8,Master,Technical Degree,1,Male,3,2,Sales Executive,4,Divorced,5079,4,No,13,4,4,2,12,3,3,7,7,0,7,Indeed,24
1704,4445,38,1,Non-Travel,Sales,10,Bachelor,Technical Degree,3,Female,3,2,Sales Executive,4,Single,5666,1,Yes,13,4,2,0,6,1,3,5,3,1,3,Company Website,32
3023,6515,35,0,Travel_Rarely,Research & Development,23,Master,Medical,2,Male,1,1,Laboratory Technician,3,Married,2705,0,No,16,3,2,1,6,2,4,5,4,0,3,Seek,29
1725,3266,45,0,Travel_Rarely,Research & Development,1,Master,Medical,4,Female,3,1,Laboratory Technician,4,Divorced,2270,3,No,14,3,4,2,8,2,3,5,3,0,2,Adzuna,37
1089,1475,31,0,Travel_Rarely,Research & Development,9,Below college,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,4,1,13,6,4,13,8,0,8,Indeed,18
1799,7844,51,0,Travel_Frequently,Sales,2,Bachelor,Marketing,3,Male,3,2,Healthcare Representative,2,Married,6385,3,Yes,14,3,4,2,17,3,3,8,7,6,7,GlassDoor,34
2718,4723,41,0,Travel_Frequently,Research & Development,4,Bachelor,Life Sciences,1,Female,3,2,Manufacturing Director,3,Single,5042,4,Yes,12,3,3,0,10,2,3,8,7,0,0,Seek,31
1600,4922,28,1,Travel_Rarely,Sales,5,Master,Medical,1,Male,3,2,Sales Executive,4,Single,4908,1,No,14,3,2,0,4,3,3,4,2,0,2,Jora,24
1717,9291,31,1,Non-Travel,Research & Development,9,College,Medical,3,Male,2,1,Research Scientist,1,Single,2321,0,Yes,22,3,1,0,4,0,3,3,2,1,2,Adzuna,27
2546,5848,42,0,Travel_Rarely,Research & Development,7,Master,Medical,4,Male,3,1,Laboratory Technician,1,Single,2018,3,No,14,3,2,0,15,3,1,5,4,1,0,Indeed,27
2959,5608,22,1,Travel_Rarely,Research & Development,8,Below college,Medical,3,Female,3,1,Laboratory Technician,1,Married,2398,1,Yes,17,3,3,0,1,6,3,1,0,0,0,Seek,21
2989,3334,42,0,Travel_Rarely,Research & Development,13,Bachelor,Medical,2,Male,4,2,Healthcare Representative,1,Married,5538,5,No,18,3,3,2,10,2,2,0,0,0,0,Company Website,32
3312,9625,34,1,Travel_Rarely,Sales,1,Bachelor,Technical Degree,4,Male,3,1,Research Scientist,4,Single,2436,6,Yes,12,4,3,0,6,2,3,4,3,1,2,Company Website,28
3056,6319,22,1,Non-Travel,Research & Development,26,College,Other,4,Male,3,1,Laboratory Technician,4,Married,3812,1,No,13,3,2,0,11,3,4,11,8,3,10,GlassDoor,11
1108,9806,25,1,Travel_Rarely,Sales,18,Below college,Life Sciences,2,Male,3,3,Sales Executive,4,Single,9980,1,No,14,4,4,0,10,3,2,10,3,9,7,Seek,15
1211,9106,35,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,2,Male,3,2,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,2,1,10,3,3,8,7,4,7,Jora,25
1165,9562,32,1,Non-Travel,Sales,11,Master,Other,4,Male,4,2,Sales Executive,3,Married,4707,8,No,12,3,4,0,6,2,3,4,2,1,2,Jora,26
833,1021,31,1,Travel_Rarely,Research & Development,2,Master,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2695,0,Yes,18,3,2,1,3,2,1,2,2,2,2,Company Website,28
2219,6718,39,0,Travel_Rarely,Research & Development,13,Master,Medical,3,Female,2,4,Manager,2,Divorced,17123,6,Yes,13,3,4,2,21,4,3,19,9,15,2,Company Website,18
1780,6741,44,1,Travel_Rarely,Human Resources,1,Below college,Life Sciences,4,Female,2,4,Manufacturing Director,4,Married,12742,0,No,11,3,2,0,10,1,4,2,2,0,2,Recruit.net,34
530,3362,56,0,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2,Seek,37
1142,5908,44,0,Non-Travel,Research & Development,5,Bachelor,Life Sciences,2,Male,1,3,Sales Executive,1,Divorced,10932,5,No,15,4,3,1,20,2,3,1,0,0,1,LinkedIn,24
