Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,4,1,0,8,0,1,6,4,0,5,Referral,29
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,4,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Marketing,1,Female,3,2,Sales Executive,4,Single,5993,5,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,29
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,29
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Marketing,1,Female,3,2,Sales Executive,4,Single,5993,5,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,29
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,4,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,Company Website,20
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,1,Female,3,5,Manager,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10,Indeed,8
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,4,1,0,8,0,1,6,4,0,5,Referral,29
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,4,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Marketing,1,Female,3,2,Sales Executive,4,Single,5993,5,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,29
